loss,test_loss,acc1,test_acc1,acc2,test_acc2,acc3,test_acc3
6.22649641,5.77334860,0.8089,0.9980,0.0633,0.1017,0.3165,0.3841
5.58078732,5.24578555,0.9991,0.9992,0.1178,0.1392,0.4312,0.5578
4.68785567,4.46884897,0.9984,0.9996,0.1789,0.2255,0.6384,0.6491
4.24338531,4.18437343,0.9989,0.9984,0.2500,0.2567,0.6851,0.6934
3.99550101,3.98234147,0.9991,0.9996,0.2901,0.2983,0.7066,0.7049
3.81762977,3.84081107,0.9994,0.9984,0.3193,0.3335,0.7171,0.7045
3.69490409,3.76043020,0.9993,0.9992,0.3378,0.3513,0.7267,0.7136
3.59354284,3.70756149,0.9996,0.9988,0.3597,0.3457,0.7378,0.7330
3.53835797,3.57929330,0.9998,0.9996,0.3675,0.3884,0.7524,0.7362
3.46118401,3.52479911,0.9999,0.9996,0.3944,0.3841,0.7539,0.7544
3.39099674,3.48378873,0.9998,0.9996,0.4139,0.3928,0.7664,0.7496
3.35947969,3.43345780,0.9998,1.0000,0.4312,0.3948,0.7679,0.7555
3.32031956,3.46163162,0.9999,0.9996,0.4378,0.3841,0.7749,0.7453
3.29327762,3.39336493,1.0000,1.0000,0.4428,0.4383,0.7735,0.7603
3.24697348,3.31414893,1.0000,1.0000,0.4585,0.4434,0.7830,0.7638
3.22798706,3.32404349,1.0000,1.0000,0.4645,0.4335,0.7815,0.7678
3.19700071,3.27858241,1.0000,1.0000,0.4717,0.4442,0.7863,0.7733
3.16896996,3.25248933,1.0000,1.0000,0.4788,0.4565,0.7918,0.7666
3.14691828,3.24248645,1.0000,1.0000,0.4848,0.4434,0.7960,0.7789
3.12043684,3.21119075,1.0000,1.0000,0.4907,0.4668,0.7979,0.7820
3.10083237,3.18369034,1.0000,1.0000,0.4916,0.4727,0.8011,0.7900
3.09414847,3.16394205,1.0000,1.0000,0.4974,0.4747,0.8034,0.7943
3.07273981,3.19540495,1.0000,1.0000,0.5078,0.4723,0.8028,0.7947
3.04997721,3.12133545,1.0000,1.0000,0.5189,0.4866,0.8064,0.7975
3.04526624,3.16081251,1.0000,1.0000,0.5088,0.4763,0.8068,0.7927
3.02294382,3.12854232,1.0000,1.0000,0.5165,0.4885,0.8086,0.7951
3.00118958,3.09814146,1.0000,1.0000,0.5275,0.4953,0.8118,0.8054
2.99894182,3.08254260,1.0000,1.0000,0.5249,0.5063,0.8137,0.8006
2.96869543,3.06270194,1.0000,1.0000,0.5395,0.5162,0.8192,0.8022
2.95602272,3.05710228,1.0000,1.0000,0.5357,0.5158,0.8178,0.8062
2.93874954,3.07019917,1.0000,1.0000,0.5460,0.5087,0.8218,0.8014
2.92829937,3.04041786,1.0000,1.0000,0.5502,0.5281,0.8237,0.8097
2.90830324,3.05738979,1.0000,1.0000,0.5594,0.5218,0.8259,0.8070
2.91158433,3.05700151,1.0000,1.0000,0.5534,0.5095,0.8229,0.8137
2.90616870,3.00872813,1.0000,1.0000,0.5587,0.5265,0.8278,0.8176
2.89296858,3.01574612,1.0000,1.0000,0.5627,0.5336,0.8267,0.8137
2.87113730,2.99420333,1.0000,1.0000,0.5694,0.5356,0.8292,0.8165
2.86385881,3.01501105,1.0000,1.0000,0.5700,0.5237,0.8339,0.8188
2.85615242,2.99387680,1.0000,1.0000,0.5734,0.5439,0.8335,0.8149
2.84686872,2.98810074,1.0000,1.0000,0.5768,0.5400,0.8352,0.8204
2.82902902,2.99402867,1.0000,1.0000,0.5754,0.5328,0.8379,0.8180
2.82031459,2.99208490,1.0000,1.0000,0.5817,0.5364,0.8358,0.8220
2.82346551,2.95809229,1.0000,1.0000,0.5769,0.5494,0.8402,0.8263
2.81447489,2.95499574,1.0000,1.0000,0.5894,0.5400,0.8380,0.8295
2.80031111,2.96154949,1.0000,1.0000,0.5892,0.5554,0.8400,0.8248
2.80424995,2.96971665,1.0000,1.0000,0.5885,0.5368,0.8402,0.8220
2.80187800,2.95206634,1.0000,1.0000,0.5854,0.5546,0.8399,0.8283
2.78188564,2.91334714,1.0000,1.0000,0.6003,0.5657,0.8452,0.8347
2.77071805,2.93319204,1.0000,1.0000,0.6006,0.5479,0.8478,0.8350
2.76745835,2.91671869,1.0000,1.0000,0.5982,0.5597,0.8456,0.8366
2.76059512,2.89874445,1.0000,1.0000,0.5962,0.5732,0.8481,0.8327
2.74251880,2.89775644,1.0000,1.0000,0.6057,0.5680,0.8513,0.8354
2.74551306,2.88505485,1.0000,1.0000,0.6066,0.5649,0.8489,0.8382
2.73904014,2.89865626,1.0000,1.0000,0.6038,0.5649,0.8486,0.8319
2.73830925,2.88683767,1.0000,1.0000,0.6124,0.5661,0.8509,0.8386
2.71866537,2.88478422,1.0000,1.0000,0.6122,0.5629,0.8530,0.8398
2.71575050,2.88235739,1.0000,1.0000,0.6171,0.5700,0.8532,0.8358
2.73148537,2.90492275,1.0000,1.0000,0.6115,0.5589,0.8492,0.8366
2.71690964,2.87684083,1.0000,1.0000,0.6200,0.5653,0.8531,0.8366
2.70881763,2.87838740,1.0000,1.0000,0.6168,0.5712,0.8559,0.8378
2.68987889,2.85748900,1.0000,1.0000,0.6227,0.5740,0.8585,0.8422
2.69333254,2.86753554,1.0000,1.0000,0.6244,0.5795,0.8574,0.8358
2.68747677,2.87618134,1.0000,1.0000,0.6271,0.5708,0.8578,0.8437
2.68516326,2.86632268,1.0000,1.0000,0.6269,0.5696,0.8584,0.8414
2.67764760,2.86498891,1.0000,1.0000,0.6333,0.5882,0.8577,0.8457
2.68323274,2.83781152,1.0000,0.9996,0.6264,0.5783,0.8596,0.8489
2.67246296,2.84176042,1.0000,1.0000,0.6295,0.5847,0.8614,0.8430
2.66780669,2.85834482,1.0000,1.0000,0.6270,0.5672,0.8611,0.8394
2.66672596,2.83217388,1.0000,1.0000,0.6285,0.5866,0.8617,0.8477
2.64960080,2.83842876,1.0000,1.0000,0.6369,0.5835,0.8658,0.8509
2.65027667,2.84899240,1.0000,1.0000,0.6367,0.5870,0.8627,0.8390
2.63598269,2.81861761,1.0000,1.0000,0.6437,0.5953,0.8660,0.8437
2.63784961,2.83089903,1.0000,1.0000,0.6413,0.5815,0.8664,0.8481
2.63359932,2.81973439,1.0000,1.0000,0.6409,0.5922,0.8682,0.8469
2.63246107,2.81800498,1.0000,1.0000,0.6380,0.5934,0.8707,0.8465
2.62592176,2.81657110,1.0000,1.0000,0.6481,0.5890,0.8656,0.8528
2.62050149,2.82900439,1.0000,1.0000,0.6442,0.5835,0.8695,0.8548
2.62351381,2.80344499,1.0000,1.0000,0.6449,0.5850,0.8694,0.8576
2.61286345,2.82967893,1.0000,1.0000,0.6530,0.5949,0.8705,0.8509
2.61483479,2.80710382,1.0000,1.0000,0.6458,0.5937,0.8720,0.8528
2.60436780,2.80956115,1.0000,0.9996,0.6574,0.5941,0.8718,0.8544
2.60198754,2.79241424,1.0000,0.9996,0.6522,0.5977,0.8698,0.8572
2.59324952,2.80640666,1.0000,1.0000,0.6573,0.5985,0.8756,0.8493
2.59938106,2.80442241,1.0000,1.0000,0.6543,0.5937,0.8743,0.8576
2.59212467,2.78874826,1.0000,1.0000,0.6560,0.6021,0.8743,0.8544
2.59211417,2.79131473,1.0000,1.0000,0.6640,0.5941,0.8728,0.8517
2.58956752,2.78610131,1.0000,1.0000,0.6556,0.6060,0.8717,0.8552
2.58127643,2.79671568,1.0000,1.0000,0.6616,0.5957,0.8731,0.8568
2.58134609,2.78111190,1.0000,1.0000,0.6564,0.6056,0.8732,0.8592
2.57382351,2.77935317,1.0000,1.0000,0.6613,0.6048,0.8761,0.8639
